Branch Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Agincourt,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Albert Campbell,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Albion,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Alderwood,10:00 - 8:30,10:00 - 6:00,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Amesbury Park,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Annette Street,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Armour Heights,Closed,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,Closed
Barbara Frum,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Bayview,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Beaches,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Bendale,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Black Creek,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Bloor Gladstone,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Brentwood,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Bridlewood,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Brookbanks,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Burrows Hall,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Cedarbrae,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Centennial,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
City Hall,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,Closed,Closed
Cliffcrest,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
College Shaw,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Danforth Coxwell,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Davenport,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Dawes Road,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Deer Park,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Don Mills,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Downsview,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
Dufferin St. Clair,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Eatonville,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
Eglinton Square,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Elmbrook Park,Closed,10:00 - 6:00,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Evelyn Gregory,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Fairview,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Flemingdon Park,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
Forest Hill,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Fort York,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
Gerrard Ashdale,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Goldhawk Park,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
Guildwood,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
High Park,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Highland Creek,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Hillcrest,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Humber Bay,Closed,10:00 - 6:00,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Humber Summit,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Humberwood,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Jane Dundas,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Jane Sheppard,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Jones,10:00 - 6:00,10:00 - 8:30,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Kennedy Eglinton,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Leaside,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Lillian H. Smith,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Locke,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Long Branch,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Main Street,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Malvern,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Maria A. Shchuka,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Maryvale,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
McGregor Park,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
Mimico Centennial,Closed,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,Closed
Morningside,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Mount Dennis,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
Mount Pleasant,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
New Toronto,Closed,10:00 - 6:00,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,1:30 - 5:00
Northern District,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Northern Elms,Closed,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,Closed
Oakwood Village Library and Arts Centre,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Palmerston,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Pape Danforth,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Parkdale,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Parliament Street,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Perth Dupont,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Pleasant View,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Port Union,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Queen Saulter,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Rexdale,Closed,10:00 - 6:00,12:30 - 8:30,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Richview,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Riverdale,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Runnymede,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
S. Walter Stewart,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Sanderson,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Scarborough Civic Centre,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,1:30 - 5:00
Spadina Road,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
St. Clair Silverthorn,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
St. James Town,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
St. Lawrence,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Steeles,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,Closed
Swansea Memorial,Closed,10-12 & 1-6,01-Aug,10-12 & 1-6,Closed,10-May,Closed
Taylor Memorial,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Thorncliffe,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,Closed
Todmorden Room,Closed,1230-5 & 6-830,9-12 & 1-5,1230-5 & 6-830,Closed,9-12 & 1-5,Closed
Victoria Village,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Weston,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Woodside Square,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Woodview Park,Closed,10:00 - 6:00,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Wychwood,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
York Woods,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Yorkville,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Toronto Reference Library,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
North York Central,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
