Branch Name,Address,Telephone ,Postal Code,NBHD Number,NBHD Name,Ward Number,Ward Region
Agincourt ,155 Bonis Ave,(416) 396-8943,M1T 3W6,118,Tam O'Shanter-Sullivan ,40,Scarborough-Agincourt 
Albert Campbell ,496 Birchmount Rd,(416) 396-8890,M1K 1N8,120,Clairlea-Birchmount ,35,Scarborough-Southwest
Albion,1515 Albion Rd,(416) 394-5170,M9V 1B2,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North
Alderwood,2 Orianna Dr,(416) 394-5310,M8W 4Y1,20,Alderwood,6,Etobicoke Lakeshore
Amesbury Park,1565 Lawrence Ave W,(416) 395-5420,M6L 1A8,30,Brookhaven-Amesbury ,12,York South-Weston
Annette Street,145 Annette St.,(416) 393-7692,M6P 1P3,90,Junction Area ,13,Parkdale-High Park
Armour Heights,2140 Avenue Rd ,(416) 395-5430,M5M 4M7,39,Bedford Park-Nortown ,16,Eglinton-Lawrence
Barbara Frum,20 Covington Rd,(416) 395-5440,M6A 3C1,32,Englemount-Lawrence ,15,Eglinton-Lawrence
Bayview,2901 Bayview Ave ,(416) 395-5460,M2K 1E6,52,Bayview Village ,24,Willowdale
Beaches,2161 Queen St E,(416) 393-7703,M4L 1J1,63,The Beaches ,32,Beaches-East York
Bendale,1515 Danforth Rd,(416) 396-8910,M1J 1H5,127,Bendale,38,Scarborough Centre
Black Creek,"1700 Wilson Ave, Unit 63-64",(416) 395-5470,M3L 1B2,26,Downsview-Roding-CFB,7,York West
Bloor Gladstone,1101 Bloor St W,(416) 393-7674,M6H 1M7,83,Dufferin Grove ,18,Davenport
Brentwood,36 Brentwood Rd N,(416) 394-5240,M8X 2B5,15,Kingsway South ,5,Etobicoke- Lakeshore
Bridlewood,2900 Warden Ave ,(416) 396-8960,M1W 2S8,117,L'Amoreaux,39,Scarborough-Agincourt
Brookbanks,210 Brookbanks Dr,(416) 395-5480,M3A 2T8,45,Parkwoods-Donalda,34,Don Valley East
Burrows Hall,1081 Progress Ave,(416) 396-8740,M1B 5Z6,132,Malvern,42,Scarborough-Rouge River
Cedarbrae,545 Markham Rd,(416) 396-8850,M1H 2A1,137,Woburn,43,Scarborough East
Centennial,578 Finch Ave W,(416) 395-5490,M2R 1N7,35,Westminster-Branson,10,York Centre
City Hall,100 Queen St W,(416) 393-7650,M5H 2N3,76,Bay Street Corridor,27,Toronto Centre-Rosedale
Cliffcrest,3017 Kingston Rd,(416) 396-8916,M1M 1P1,123,Cliffcrest ,36,Scarborough Southwest
College Shaw,766 College St,(416) 393-7668,M6G 1C4,80,Palmerston-Little Italy ,19,Trinity-Spadina
Danforth Coxwell,1675 Danforth Ave,(416) 393-7783,M4C 5P2,64,Woodbine Corridor,32,Beaches-East York 
Davenport,1246 Shaw St,(416) 393-7732,M6G 3P1,94,Wychwood ,21,St. Paul's 
Dawes Road,416 Dawes Rd ,(416) 396-3820,M4B 2E8,54,O'Connor-Parkview,31,Beaches-East York 
Deer Park,40 St. Clair Ave E,(416) 393-7657,M4T 1M9,98,Rosedale-Moore Park,22,St. Paul's 
Don Mills,888 Lawrence Ave E,(416) 395-5710,M3C 1P6,42,Banbury-Don Mills ,25,Don Valley West 
Downsview,2793 Keele St,(416) 395-5720,M3M 2G3,26,Downsview-Roding-CFB,9,York Centre 
Dufferin St. Clair,1625 Dufferin St,(416) 393-7712,M6H 3L9,93,Dovercourt-Wallace Emerson-Junction,17,Davenport 
Eatonville,430 Burnhamthorpe Rd,(416) 394-5270,M9B 2B1,14,Islington-City Centre West,5,Etobicoke-Lakeshore 
Eglinton Square,"1 Eglinton Sq, Unit 126 ",(416) 396-8920,M1L 2K1,120,Clairlea-Birchmount,35,Scarborough Southwest 
Elmbrook Park,2 Elmbrook Cr,(416) 394-5290,M9C 5B4,11,Eringate-Centennial-West Deane,3,Etobicoke Centre 
Evelyn Gregory,120 Trowell Ave,(416) 394-1006,M6M 1L7,110,Keelesdale-Eglinton West,12,York South-Weston 
Fairview,35 Fairview Mall Dr,(416) 395-5750,M2J 4S4,47,Don Valley Village,33,Don Valley East 
Flemingdon Park,29 St. Dennis Dr ,(416) 395-5820,M3C 3J3,44,Flemingdon Park ,26,Don Valley West 
Forest Hill,700 Eglinton Ave W,(416) 393-7706,M5N 1B9,102,Forest Hill North,21,St. Paul's 
Fort York,190 Fort York Blvd,(416) 393-6240,M5V 0E7 ,77,Waterfront Communities-The Island,20,Trinity and Spadina
Gerrard Ashdale,1432 Gerrard St E,(416) 393-7717,M4L 1Z6,65,Greenwood-Coxwell  ,30,Toronto-Danforth 
Goldhawk Park,295 Alton Towers Cir,(416) 396-8964,M1V 4P1,130,Milliken  ,41,Scarborough-Rouge River 
Guildwood,123 Guildwood Pkwy ,(416) 396-8872,M1E 4V2,140,Guildwood  ,43,Scarborough East 
High Park,228 Roncesvalles Ave,(416) 393-7671,M6R 2L7,87,High Park-Swansea ,14,Parkdale-High Park 
Highland Creek,3550 Ellesmere Rd,(416) 396-8876,M1C 3Z2,134,Highland Creek ,44,Scarborough East 
Hillcrest,5801 Leslie St,(416) 395-5830,M2H 1J8,48,Hillcrest Village ,24,Willowdale 
Humber Bay,200 Park Lawn Rd,(416) 394-5300,M8Y 3J1,16,Stonegate-Queensway,5,Etobicoke-Lakeshore 
Humber Summit,2990 Islington Ave,(416) 395-5840,M9L 2K6,21,Humber Summit,7,York West 
Humberwood,850 Humberwood Blvd,(416) 394-5210,M9W 7A6,1,West Humber-Clairville,2,Etobicoke North 
Jane Dundas,620 Jane St,(416) 394-1014,M6S 4A6,89,Runnymede-Bloor West Village ,13,Parkdale-High Park 
Jane Sheppard,1906 Sheppard Ave West,(416) 395-5966,M3L 1Y7,25,Glenfield-Jane Heights ,9,York Centre 
Jones,118 Jones Ave,(416) 393-7715,M4M 2Z9,70,South Riverdale,30,Toronto-Danforth 
Kennedy Eglinton,2380 Eglinton Ave E,(416) 396-8924,M1K 2P3,125,Ionview ,37,Scarborough Centre 
Leaside,165 McRae Dr,(416) 396-3835,M4G 1S8,56,Leaside-Bennington ,26,Don Valley West 
Lillian H. Smith,239 College St,(416) 393-7746,M5T 1R5,78,Kensington-Chinatown ,20,Trinity-Spadina 
Locke,3083 Yonge St,(416) 393-7730,M4N 2K7,103,Lawrence Park South,25,Don Valley West 
Long Branch,3500 Lakeshore Blvd W,(416) 394-5320,M8W 1N6,19,Long Branch,6,Etobicoke-Lakeshore 
Main Street,137 Main St,(416) 393-7700,M4E 2V9,62,East End-Danforth,32,Beaches-East York 
Malvern,30 Sewells Rd,(416) 396-8969,M1B 3G5,132,Malvern,42,Scarborough-Rouge River 
Maria A. Shchuka,1745 Eglinton Ave W,(416) 394-1000,M6E 2H4,107,Oakwood-Vaughan,15,Eglinton-Lawrence 
Maryvale,85 Ellesmere Rd ,(416) 396-8931,M1R 4B9,119,Wexford-Maryvale ,37,Scarborough Centre 
McGregor Park,2219 Lawrence Ave E,(416) 396-8935,M1P 2P5,126,Dorset Park  ,37,Scarborough Centre 
Mimico Centennial,47 Station Rd,(416) 394-5330,M8V 2R1,17,Mimico ,6,Etobicoke-Lakeshore 
Morningside,4279 Lawrence Ave E,(416) 396-8881,M1E 2S8,136,West Hill ,44,Scarborough East 
Mount Dennis,1123 Weston Rd,(416) 394-1008,M6N 3S3,115,Mount Dennis ,11,York South-Weston 
Mount Pleasant,599 Mt. Pleasant Rd,(416) 393-7737,M4S 2M5,99,Mount Pleasant East  ,22,St. Paul's 
New Toronto,110 Eleventh St,(416) 394-5350,M8V 3G5,18,New Toronto  ,6,Etobicoke-Lakeshore 
North York Central,5120 Yonge St,(416) 395-5535,M2N 5N9,38/51,Lansing-Westgate/ Willowdale East,23,Willowdale 
Northern District,40 Orchard View Blvd,(416) 393-7610,M4R 1B9,100,Yonge-Eglinton,16,Eglinton-Lawrence 
Northern Elms,"123 B Rexdale Blvd, Unit 5",(416) 394-5230,M9W 1P1,1,West Humber-Clairville,2,Etobicoke North 
Oakwood Village Library and Arts Centre,341 Oakwood Ave,(416) 394-1040,M6E 2W1,107,Oakwood-Vaughan ,15,Eglinton-Lawrence 
Palmerston,560 Palmerston Ave,(416) 393-7680,M6G 2P7,95,Annex,20,Trinity-Spadina 
Pape Danforth,701 Pape Ave,(416) 393-7727,M4K 3S6,69,Blake-Jones ,30,Toronto-Danforth 
Parkdale,1303 Queen St W,(416) 393-7686,M6K 1L6,85,South Parkdale,14,Parkdale-High Park 
Parliament Street,269 Gerrard St E,(416) 393-7663,M5A 2G6,73,Moss Park,28,Toronto Centre-Rosedale 
Perth Dupont,1589 Dupont St,(416) 393-7677,M6P 3S5,93,Dovercourt-Wallace Emerson-Junction,18,Davenport
Pleasant View,575 Van Horne Ave,(416) 395-5940,M2J 4S8,46,Pleasant View,33,Don Valley East 
Port Union,5450 Lawrence Ave E,(416) 396-8885,M1C 3B2,133,Centennial Scarborough ,44,Scarborough East 
Queen Saulter,765 Queen St E,(416) 393-7723,M4M 1H3,70,South Riverdale,30,Toronto-Danforth 
Rexdale,2243 Kipling Ave,(416) 394-5200,M9W 4L5,4,Rexdale-Kipling,2,Etobicoke North 
Richview,1806 Islington Ave,(416) 394-5120,M9P 3N3,7,Willowridge-Martingrove-Richview,4,Etobicoke Centre 
Riverdale,370 Broadview Ave,(416) 393-7720,M4K 2M8,68,North Riverdale ,30,Toronto-Danforth 
Runnymede,2178 Bloor St W,(416) 393-7697,M6S 1M8,88,High Park North,13,Parkdale-High Park
S. Walter Stewart,170 Memorial Park Ave,(416) 396-3975,M4J 2K5,59,Danforth Village - East York,29,Toronto-Danforth 
Sanderson,327 Bathurst St,(416) 393-7653,M5T 1J1,78,Kensington-Chinatown ,20,Trinity-Spadina 
Scarborough Civic Centre,150 Borough Dr,(416) 396-3599,M1P 4N7,127,Bendale,38,Scarborough - Centre
Spadina Road,10 Spadina Rd,(416) 393-7655,M5R 2S7,95,Annex,20,Trinity-Spadina 
St. Clair Silverthorn,1748 St. Clair Ave W,(416) 393-7709,M6N 1J3,91,Weston-Pellam Park,17,Davenport 
St. James Town,495 Sherbourne St,(416) 393-7744,M4X 1K7,74,North St. James Town ,28,Toronto Centre-Rosedale 
St. Lawrence,171 Front St E,(416) 393-7655,M5A 4H3,77,Waterfront Communities-The Island,28,Toronto Centre-Rosedale 
Steeles,"375 Bamburgh Circle, C107",(416) 396-8975,M1W 3Y1,116,Steeles ,39,Scarborough-Agincourt 
Swansea Memorial,95 Lavinia Ave,(416) 393-7695,M6S 3H9,87,High Park-Swansea,13,Parkdale-High Park 
Taylor Memorial,1440 Kingston Rd,(416) 396-8939,M1N 1R3,122,Birchcliffe-Cliffside,36,Scarborough Southwest 
Thorncliffe,48 Thorncliffe Park Dr,(416) 396-3865,M4H 1J7,55,Thorncliffe Park ,26,Don Valley West 
Todmorden Room,1081_ Pape Ave ,(416) 396-3875,M4K 3W6,58,Old East York ,29,Toronto-Danforth 
Toronto Reference Library,789 Yonge St,(416) 395-5577,M4W 2G8,95/98,Annex/ Rosedale-Moore Park ,27,Toronto Centre-Rosedale 
Victoria Village,184 Sloane Ave,(416) 395-5950,M4A 2C4,43,Victoria Village ,34,Don Valley East 
Weston,2 King St,(416) 394-1016,M9N 1K9,113,Weston ,11,York South-Weston 
Woodside Square,1571 Sandhurst Cir,(416) 396-8979,M1V 1V2,129,Agincourt North,41,Scarborough-Rouge River 
Woodview Park,16 Bradstock Rd,(416) 395-5960,M9M 1M8,22,Humbermede ,7,York West
Wychwood,1431 Bathurst St,(416) 393-7683,M5R 3J2,96,Casa Loma ,21,St. Paul's 
York Woods,1785 Finch Ave W,(416) 395-5980,M3N 1M6,25,Glenfield-Jane Heights ,8,York West 
Yorkville,22 Yorkville Ave,(416) 393-7660,M4W 1L4,95,Annex ,27,Toronto Centre-Rosedale 